student_id,name,email
21520233,Vũ Tuấn Khang,vutuankhang@student.hcmus.edu.vn
21520234,Võ Quang Vinh,voquangvinh@student.hcmus.edu.vn
21520235,Đỗ Thanh Oanh,dothanhoanh@student.hcmus.edu.vn
21520236,Huỳnh Văn Phát,huynhvanphat@student.hcmus.edu.vn
21520237,Phan Thị Phát,phanthiphat@student.hcmus.edu.vn
21520238,Trần Phương Anh,tranphuonganh@student.hcmus.edu.vn
21520239,Đặng Đức Linh,dangduclinh@student.hcmus.edu.vn
21520240,Võ Thu Vinh,vothuvinh@student.hcmus.edu.vn
21520241,Hoàng Hữu Bình,hoanghuubinh@student.hcmus.edu.vn
21520242,Đặng Quang Mai,dangquangmai@student.hcmus.edu.vn
21520243,Nguyễn Thành Trang,nguyenthanhtrang@student.hcmus.edu.vn
21520244,Võ Quang Sơn,voquangson@student.hcmus.edu.vn
21520245,Trần Thu Hương,tranthuhuong@student.hcmus.edu.vn
21520246,Đỗ Hữu Oanh,dohuuoanh@student.hcmus.edu.vn
21520247,Lý Quang Châu,lyquangchau@student.hcmus.edu.vn
21520248,Huỳnh Ngọc Yến,huynhngocyen@student.hcmus.edu.vn
21520249,Hồ Gia Phát,hogiaphat@student.hcmus.edu.vn
21520250,Đỗ Quang Hương,doquanghuong@student.hcmus.edu.vn
21520251,Trần Thành Yến,tranthanhyen@student.hcmus.edu.vn
21520252,Dương Đức Hoa,duongduchoa@student.hcmus.edu.vn
21520253,Đặng Thu Bình,dangthubinh@student.hcmus.edu.vn
21520254,Huỳnh Phương Quyên,huynhphuongquyen@student.hcmus.edu.vn
21520255,Phạm Bảo Phát,phambaophat@student.hcmus.edu.vn
21520256,Phạm Gia Uyên,phamgiauyen@student.hcmus.edu.vn
21520257,Phan Quang Đạt,phanquangdat@student.hcmus.edu.vn
21520258,Vũ Bảo Yến,vubaoyen@student.hcmus.edu.vn
21520259,Võ Thu Anh,vothuanh@student.hcmus.edu.vn
21520260,Lê Thị Oanh,lethioanh@student.hcmus.edu.vn
21520261,Hồ Phương Nam,hophuongnam@student.hcmus.edu.vn
21520262,Đỗ Thu Bình,dothubinh@student.hcmus.edu.vn
21520263,Trần Thanh Dũng,tranthanhdung@student.hcmus.edu.vn
21520264,Phạm Hữu Dũng,phamhuudung@student.hcmus.edu.vn
21520265,Vũ Quang Đạt,vuquangdat@student.hcmus.edu.vn
21520266,Ngô Thu Linh,ngothulinh@student.hcmus.edu.vn
21520267,Dương Ngọc Trang,duongngoctrang@student.hcmus.edu.vn
21520268,Bùi Quang Linh,buiquanglinh@student.hcmus.edu.vn
21520269,Đặng Bảo Hương,dangbaohuong@student.hcmus.edu.vn
21520270,Đặng Văn Yến,dangvanyen@student.hcmus.edu.vn
21520271,Hồ Gia Nam,hogianam@student.hcmus.edu.vn
21520272,Võ Tuấn Linh,votuanlinh@student.hcmus.edu.vn
21520273,Võ Hữu Anh,vohuuanh@student.hcmus.edu.vn
21520274,Phan Ngọc Quyên,phanngocquyen@student.hcmus.edu.vn
21520275,Võ Đức Yến,voducyen@student.hcmus.edu.vn
21520276,Phan Hữu Quyên,phanhuuquyen@student.hcmus.edu.vn
21520277,Phạm Văn Nam,phamvannam@student.hcmus.edu.vn
21520278,Đỗ Văn Mai,dovanmai@student.hcmus.edu.vn
21520279,Hoàng Gia Anh,hoanggiaanh@student.hcmus.edu.vn
21520280,Hồ Thanh Phát,hothanhphat@student.hcmus.edu.vn
21520281,Dương Thanh Vinh,duongthanhvinh@student.hcmus.edu.vn
21520282,Võ Tuấn Bình,votuanbinh@student.hcmus.edu.vn
21520283,Vũ Gia Dũng,vugiadung@student.hcmus.edu.vn
21520284,Lý Minh Mai,lyminhmai@student.hcmus.edu.vn
21520285,Lý Phương Dũng,lyphuongdung@student.hcmus.edu.vn
21520286,Vũ Thanh Nam,vuthanhnam@student.hcmus.edu.vn
21520287,Võ Phương Yến,vophuongyen@student.hcmus.edu.vn
21520288,Nguyễn Quang Anh,nguyenquanganh@student.hcmus.edu.vn
21520289,Ngô Thu Đạt,ngothudat@student.hcmus.edu.vn
21520290,Đặng Bảo Oanh,dangbaooanh@student.hcmus.edu.vn
21520291,Nguyễn Ngọc Oanh,nguyenngocoanh@student.hcmus.edu.vn
21520292,Nguyễn Phương Linh,nguyenphuonglinh@student.hcmus.edu.vn
21520293,Đặng Thanh Nam,dangthanhnam@student.hcmus.edu.vn
21520294,Trần Văn Sơn,tranvanson@student.hcmus.edu.vn
21520295,Ngô Đức Đạt,ngoducdat@student.hcmus.edu.vn
21520296,Lý Thanh Oanh,lythanhoanh@student.hcmus.edu.vn
21520297,Võ Hữu Yến,vohuuyen@student.hcmus.edu.vn
21520298,Đặng Thu Hương,dangthuhuong@student.hcmus.edu.vn
21520299,Đỗ Thu Sơn,dothuson@student.hcmus.edu.vn
21520300,Dương Tuấn Hương,duongtuanhuong@student.hcmus.edu.vn
21520301,Lê Quang Dũng,lequangdung@student.hcmus.edu.vn
21520302,Đỗ Quang Vinh,doquangvinh@student.hcmus.edu.vn
21520303,Trần Minh Linh,tranminhlinh@student.hcmus.edu.vn
21520304,Phan Văn Đạt,phanvandat@student.hcmus.edu.vn
21520305,Lý Bảo Anh,lybaoanh@student.hcmus.edu.vn
21520306,Nguyễn Tuấn Sơn,nguyentuanson@student.hcmus.edu.vn
21520307,Lý Ngọc Anh,lyngocanh@student.hcmus.edu.vn
21520308,Trần Phương Anh,tranphuonganh@student.hcmus.edu.vn
21520309,Đỗ Thanh Uyên,dothanhuyen@student.hcmus.edu.vn
21520310,Huỳnh Quang Hoa,huynhquanghoa@student.hcmus.edu.vn
21520311,Lý Quang Sơn,lyquangson@student.hcmus.edu.vn
21520312,Đỗ Thị Đạt,dothidat@student.hcmus.edu.vn
21520313,Huỳnh Phương Anh,huynhphuonganh@student.hcmus.edu.vn
21520314,Ngô Đức Bình,ngoducbinh@student.hcmus.edu.vn
21520315,Đỗ Hữu Yến,dohuuyen@student.hcmus.edu.vn
21520316,Nguyễn Phương Phát,nguyenphuongphat@student.hcmus.edu.vn
21520317,Lê Phương Phát,lephuongphat@student.hcmus.edu.vn
21520318,Hoàng Tuấn Hoa,hoangtuanhoa@student.hcmus.edu.vn
21520319,Bùi Ngọc Hoa,buingochoa@student.hcmus.edu.vn
21520320,Trần Văn Hương,tranvanhuong@student.hcmus.edu.vn
21520321,Phan Xuân Trang,phanxuantrang@student.hcmus.edu.vn
21520322,Trần Hữu Yến,tranhuuyen@student.hcmus.edu.vn
21520323,Đặng Quang Châu,dangquangchau@student.hcmus.edu.vn
21520324,Đỗ Đức Anh,doducanh@student.hcmus.edu.vn
21520325,Dương Thu Uyên,duongthuuyen@student.hcmus.edu.vn
21520326,Hồ Minh Phát,hominhphat@student.hcmus.edu.vn
